mean_pdp,ground_truth_pdp
0.15296352401932825,0.04263896128842751
0.08496554314416833,0.07497809515906471
0.19824573801039666,0.10731722902970219
0.16829898013117855,0.1396563629003394
0.33481510234982714,0.1719954967709768
0.27217168539262626,0.20433463064161425
0.2109963060439571,0.2366737645122515
0.3525860587653475,0.26901289838288894
0.3714099944162559,0.3013520322535262
0.39234672277740473,0.3336911661241636
0.36790032416780366,0.366030299994801
0.3422687165285992,0.3983694338654383
0.4202135607525579,0.43070856773607546
0.5410183670840597,0.4630477016067129
0.6374252718852598,0.4953868354773502
0.5994520295765823,0.5277259693479877
0.6601685943709492,0.5600651032186248
0.6602133549738521,0.5924042370892623
0.6667411248182238,0.6247433709598997
0.6763306976812036,0.6570825048305369
0.6475680220653173,0.6894216387011742
0.7852677802276408,0.7217607725718118
0.9072967254919471,0.754099906442449
0.9201961045598078,0.7864390403130864
1.0494157541112843,0.8187781741837238
1.0516055334892067,0.8511173080543609
1.0606230983255085,0.8834564419249984
1.10125941395696,0.9157955757956355
1.1065826162618748,0.948134709666273
1.0991549312683782,0.9804738435369105
1.1298667525835404,1.0128129774075476
1.1232156215273226,1.0451521112781852
1.1388239292755715,1.0774912451488223
1.1353327899594008,1.1098303790194597
1.1463302812596352,1.142169512890097
0.9917921265352496,1.1745086467607344
1.047715871945934,1.2068477806313718
1.0614712089061071,1.2391869145020091
1.061340835874269,1.2715260483726463
1.1018090159635947,1.3038651822432838
1.1051560548961281,1.336204316113921
1.2847196103711218,1.3685434499845586
1.30675051896346,1.400882583855196
1.3918368922213595,1.433221717725833
1.4499249780595054,1.4655608515964704
1.509537902970411,1.4978999854671078
1.5655760523808895,1.5302391193377451
1.6078352866239514,1.5625782532083825
1.7219257278771087,1.5949173870790199
1.6742212343403335,1.6272565209496574
1.7549982380827336,1.6595956548202946
1.7645369996592601,1.6919347886909315
1.7568643478607378,1.7242739225615693
1.7724907601914055,1.7566130564322067
1.7619868349551053,1.7889521903028436
1.8777790858746524,1.8212913241734812
1.876324376901405,1.8536304580441185
1.9354767882049764,1.8859695919147559
1.9522655924831518,1.9183087257853935
1.9692877929052328,1.9506478596560308
2.039167722491854,1.9829869935266682
2.068131036645992,2.0153261273973055
2.0587706281308384,2.0476652612679427
2.126709316991141,2.08000439513858
2.1889892720287394,2.1123435290092174
2.2015082447338794,2.1446826628798545
2.1704430203515206,2.1770217967504917
2.1693129141791365,2.2093609306211293
2.211711863438803,2.2417000644917664
2.261963288993711,2.274039198362404
2.268448078078326,2.306378332233041
2.2487216211171535,2.3387174661036787
2.3219653102632174,2.3710565999743163
2.324491452659585,2.403395733844953
2.406871932935196,2.4357348677155906
2.442920437125165,2.4680740015862286
2.4496978114126886,2.5004131354568653
2.4510156801489886,2.532752269327503
2.485585876485688,2.5650914031981396
2.5076965519433014,2.597430537068777
2.5308452830015122,2.6297696709394147
2.560466894551715,2.6621088048100523
2.603306414873387,2.694447938680689
2.5813026563110633,2.7267870725513266
2.6806050880558283,2.759126206421964
2.879101977080642,2.7914653402926013
2.8530025051415993,2.823804474163239
2.826590318552525,2.856143608033876
2.8926052198437673,2.8884827419045136
2.887462872919548,2.920821875775151
2.912916387157021,2.953161009645788
2.9011343278888164,2.9855001435164255
2.88405456268503,3.0178392773870626
3.060082747182396,3.0501784112576997
3.056481066784936,3.0825175451283378
3.11454071803458,3.1148566789989744
3.0878510030096615,3.147195812869612
3.101144472964818,3.1795349467402496
3.3224205545563863,3.211874080610887
3.1875440140592026,3.2442132144815243
