Best model-mean_distance,Best model-root_mean_square_distance,Best model-inner-q0.05-mean_distance,Best model-inner-q0.05-root_mean_square_distance,Best model-outer-q0.05-mean_distance,Best model-outer-q0.05-root_mean_square_distance,Best model-inner-q0.1-mean_distance,Best model-inner-q0.1-root_mean_square_distance,Best model-outer-q0.1-mean_distance,Best model-outer-q0.1-root_mean_square_distance,Best model-inner-q0.25-mean_distance,Best model-inner-q0.25-root_mean_square_distance,Best model-outer-q0.25-mean_distance,Best model-outer-q0.25-root_mean_square_distance,Best basemodel-mean_distance,Best basemodel-root_mean_square_distance,Best basemodel-inner-q0.05-mean_distance,Best basemodel-inner-q0.05-root_mean_square_distance,Best basemodel-outer-q0.05-mean_distance,Best basemodel-outer-q0.05-root_mean_square_distance,Best basemodel-inner-q0.1-mean_distance,Best basemodel-inner-q0.1-root_mean_square_distance,Best basemodel-outer-q0.1-mean_distance,Best basemodel-outer-q0.1-root_mean_square_distance,Best basemodel-inner-q0.25-mean_distance,Best basemodel-inner-q0.25-root_mean_square_distance,Best basemodel-outer-q0.25-mean_distance,Best basemodel-outer-q0.25-root_mean_square_distance,All models-mean_distance,All models-root_mean_square_distance,All models-inner-q0.05-mean_distance,All models-inner-q0.05-root_mean_square_distance,All models-outer-q0.05-mean_distance,All models-outer-q0.05-root_mean_square_distance,All models-inner-q0.1-mean_distance,All models-inner-q0.1-root_mean_square_distance,All models-outer-q0.1-mean_distance,All models-outer-q0.1-root_mean_square_distance,All models-inner-q0.25-mean_distance,All models-inner-q0.25-root_mean_square_distance,All models-outer-q0.25-mean_distance,All models-outer-q0.25-root_mean_square_distance,Rashomon-mean_distance,Rashomon-root_mean_square_distance,Rashomon-inner-q0.05-mean_distance,Rashomon-inner-q0.05-root_mean_square_distance,Rashomon-outer-q0.05-mean_distance,Rashomon-outer-q0.05-root_mean_square_distance,Rashomon-inner-q0.1-mean_distance,Rashomon-inner-q0.1-root_mean_square_distance,Rashomon-outer-q0.1-mean_distance,Rashomon-outer-q0.1-root_mean_square_distance,Rashomon-inner-q0.25-mean_distance,Rashomon-inner-q0.25-root_mean_square_distance,Rashomon-outer-q0.25-mean_distance,Rashomon-outer-q0.25-root_mean_square_distance,Best of Family-mean_distance,Best of Family-root_mean_square_distance,Best of Family-inner-q0.05-mean_distance,Best of Family-inner-q0.05-root_mean_square_distance,Best of Family-outer-q0.05-mean_distance,Best of Family-outer-q0.05-root_mean_square_distance,Best of Family-inner-q0.1-mean_distance,Best of Family-inner-q0.1-root_mean_square_distance,Best of Family-outer-q0.1-mean_distance,Best of Family-outer-q0.1-root_mean_square_distance,Best of Family-inner-q0.25-mean_distance,Best of Family-inner-q0.25-root_mean_square_distance,Best of Family-outer-q0.25-mean_distance,Best of Family-outer-q0.25-root_mean_square_distance,Best of Family models ∩ Rashomon models-mean_distance,Best of Family models ∩ Rashomon models-root_mean_square_distance,Best of Family models ∩ Rashomon models-inner-q0.05-mean_distance,Best of Family models ∩ Rashomon models-inner-q0.05-root_mean_square_distance,Best of Family models ∩ Rashomon models-outer-q0.05-mean_distance,Best of Family models ∩ Rashomon models-outer-q0.05-root_mean_square_distance,Best of Family models ∩ Rashomon models-inner-q0.1-mean_distance,Best of Family models ∩ Rashomon models-inner-q0.1-root_mean_square_distance,Best of Family models ∩ Rashomon models-outer-q0.1-mean_distance,Best of Family models ∩ Rashomon models-outer-q0.1-root_mean_square_distance,Best of Family models ∩ Rashomon models-inner-q0.25-mean_distance,Best of Family models ∩ Rashomon models-inner-q0.25-root_mean_square_distance,Best of Family models ∩ Rashomon models-outer-q0.25-mean_distance,Best of Family models ∩ Rashomon models-outer-q0.25-root_mean_square_distance,column
0.09802445596900093,0.12767423269763573,0.09380048038067462,0.12639832038370277,0.13604023626393738,0.13863000536287162,0.10000805792189502,0.1328319327508161,0.09009004815742452,0.10452874744002667,0.06566154798369687,0.09178279973325057,0.13038736395430495,0.15549063336093943,0.09802445596900093,0.12767423269763573,0.09380048038067462,0.12639832038370277,0.13604023626393738,0.13863000536287162,0.10000805792189502,0.1328319327508161,0.09009004815742452,0.10452874744002667,0.06566154798369687,0.09178279973325057,0.13038736395430495,0.15549063336093943,0.07977296702335417,0.10510352287614166,0.08405872727150959,0.10980389434080495,0.041201124789955336,0.04422045112949885,0.08219006008108096,0.11081023002979297,0.07010459479244706,0.07821843956418231,0.05389253076883754,0.07878714523240957,0.1056534032778708,0.12604002058107763,0.10824862112249461,0.14249915582118822,0.10755349537989807,0.14264090915467237,0.11450475280586336,0.1412169728370827,0.10077985457847864,0.1388540150134728,0.13812368729855845,0.15623154965406144,0.06274864849287222,0.0879714182482668,0.15374859375211702,0.18130926173500095,0.17787869848111929,0.24345456797426296,0.15238668515870235,0.21509777342455905,0.4073068183828713,0.4198783127115804,0.12427124904202236,0.18294634984897956,0.39230849623750685,0.40307960212024396,0.07000196603864584,0.0924430335756342,0.2857554309235927,0.33165424598277676,0.1778786984811192,0.2434545679742629,0.1523866851587023,0.215097773424559,0.4073068183828713,0.4198783127115803,0.12427124904202232,0.18294634984897948,0.3923084962375068,0.4030796021202439,0.07000196603864582,0.0924430335756342,0.28575543092359257,0.33165424598277665,X1
0.05954956066883499,0.07217014258266687,0.05954956066883499,0.07217014258266687,,,0.05954956066883499,0.07217014258266687,,,0.05954956066883499,0.07217014258266687,,,0.05954956066883499,0.07217014258266687,0.05954956066883499,0.07217014258266687,,,0.05954956066883499,0.07217014258266687,,,0.05954956066883499,0.07217014258266687,,,0.06590081768283462,0.08537708225938602,0.06590081768283462,0.08537708225938602,,,0.06590081768283462,0.08537708225938602,,,0.06590081768283462,0.08537708225938602,,,0.06519176133755511,0.07927304952142838,0.06519176133755511,0.07927304952142838,,,0.06519176133755511,0.07927304952142838,,,0.06519176133755511,0.07927304952142838,,,0.054310161305067606,0.06567944403519116,0.054310161305067606,0.06567944403519116,,,0.054310161305067606,0.06567944403519116,,,0.054310161305067606,0.06567944403519116,,,0.054310161305067606,0.06567944403519116,0.054310161305067606,0.06567944403519116,,,0.054310161305067606,0.06567944403519116,,,0.054310161305067606,0.06567944403519116,,,X2
0.09722199043838378,0.10419819466666595,0.09641913228506781,0.1040357842332951,0.10444771381822751,0.1056486540784763,0.09541572778887827,0.10383260097791679,0.10444704103640579,0.10564791884180648,0.09003715180380344,0.10283030147326445,0.10440682907296413,0.10554836162869786,0.09722199043838378,0.10419819466666595,0.09641913228506781,0.1040357842332951,0.10444771381822751,0.1056486540784763,0.09541572778887827,0.10383260097791679,0.10444704103640579,0.10564791884180648,0.09003715180380344,0.10283030147326445,0.10440682907296413,0.10554836162869786,0.07953290615574651,0.08958681756174164,0.08102372441502884,0.09083198974510781,0.06611554182220565,0.07748500215467165,0.08182769322172155,0.09173251453355136,0.07035375789184632,0.0804336528675098,0.08023164678317775,0.09348772862731357,0.07883416552831526,0.08550813036072849,0.09941186260156833,0.10917175844372756,0.10127555033008548,0.11086993361579368,0.08263867304491401,0.09249566907278135,0.10214510479253318,0.11201063863670004,0.08847889383770893,0.09698882171298095,0.0980257506856565,0.11188193625710163,0.10079797451748014,0.10639256563666959,0.12213273147142086,0.13388986502008296,0.1250037360409184,0.1360110107723973,0.09629369034594282,0.1130221398178153,0.12625707380609782,0.1371389772684992,0.10563536213271299,0.12001701308764699,0.11650687144347739,0.13053485619055796,0.12775859149936436,0.13716283472392377,0.12213273147142083,0.1338898650200829,0.12500373604091833,0.13601101077239722,0.096293690345943,0.1130221398178154,0.12625707380609774,0.1371389772684991,0.10563536213271305,0.12001701308764698,0.11650687144347732,0.13053485619055785,0.1277585914993643,0.1371628347239237,X3
0.12969336783803712,0.14928636607402004,0.13547237290709263,0.1542018596184348,0.07768232221653748,0.09412900386072251,0.13810375195083893,0.15715543553346129,0.09605183138683,0.1124311869860136,0.12817392963914123,0.14548495392282262,0.13121280603693303,0.15299335401659384,0.12969336783803712,0.14928636607402004,0.13547237290709263,0.1542018596184348,0.07768232221653748,0.09412900386072251,0.13810375195083893,0.15715543553346129,0.09605183138683,0.1124311869860136,0.12817392963914123,0.14548495392282262,0.13121280603693303,0.15299335401659384,0.15533230916212476,0.17387696790177,0.16170374873466045,0.1797054191531573,0.09798935300930371,0.10810023408866494,0.16522805640722865,0.18324609952456455,0.1157493201817092,0.12980550015195563,0.16621206026827992,0.1820807528758271,0.14445255805596965,0.1652664496066831,0.1737885630577675,0.19597890083893593,0.18143834039794615,0.20264696555203582,0.10494056699615988,0.12035431821643539,0.1855633498259254,0.20670473923535718,0.1266894159851359,0.14536592097448228,0.1891634665663844,0.20877107863187302,0.15841365954915054,0.18229123916129175,0.24406870828823152,0.278973739684098,0.26023270049099534,0.29123264257331605,0.09859277846335734,0.12212864295969705,0.2680569947043739,0.29957166857191114,0.14811556262366232,0.17366346398370186,0.29007917721552623,0.32122115000455115,0.1980582393609369,0.22906258458424725,0.24406870828823155,0.278973739684098,0.26023270049099534,0.29123264257331605,0.09859277846335739,0.12212864295969705,0.26805699470437394,0.29957166857191114,0.14811556262366227,0.17366346398370178,0.2900791772155263,0.32122115000455115,0.1980582393609369,0.22906258458424725,X4
0.06418362175644836,0.08462297242457317,0.05459984356299146,0.06948796736785641,0.1504376254975603,0.1677893802940288,0.05062929892570071,0.06277946681997908,0.11840091307943894,0.1415633833060193,0.036974420362246574,0.0424717416688155,0.09139282315065014,0.11188496808578687,0.06418362175644836,0.08462297242457317,0.05459984356299146,0.06948796736785641,0.1504376254975603,0.1677893802940288,0.05062929892570071,0.06277946681997908,0.11840091307943894,0.1415633833060193,0.036974420362246574,0.0424717416688155,0.09139282315065014,0.11188496808578687,0.03905094777858528,0.05971228707950903,0.03467488348775182,0.04447432769475701,0.07843552639608639,0.1336184114093239,0.03754915260904062,0.0469442331664663,0.045058128456763914,0.09493546245201677,0.048705289604609424,0.05630146653387894,0.029396605952561137,0.06293853607024802,0.0702838695024447,0.08249774522041636,0.06464491351798193,0.07037875918737388,0.12103447336260956,0.15323267263132245,0.0664176978167826,0.07170075992771087,0.08574855624509306,0.11604048403647212,0.07821461480908659,0.07939348380756248,0.06235312419580279,0.08548935993329096,0.07364021069858179,0.08631021769063693,0.06651321694692934,0.07393046746032929,0.13778315446345374,0.15906951501757366,0.06714028513420514,0.07313387541981357,0.09963991295608839,0.12590875050345957,0.0723629911461779,0.07397391315821025,0.07491743025098566,0.09709154199863054,0.07364021069858176,0.08631021769063693,0.06651321694692928,0.07393046746032923,0.13778315446345393,0.15906951501757388,0.06714028513420507,0.07313387541981353,0.09963991295608847,0.1259087505034597,0.07236299114617784,0.07397391315821017,0.07491743025098567,0.09709154199863061,X5
0.07261019195387848,0.07273334075412669,0.07261019195387848,0.07273334075412669,,,0.07261019195387848,0.07273334075412669,,,0.07261019195387848,0.07273334075412669,,,0.07261019195387848,0.07273334075412669,0.07261019195387848,0.07273334075412669,,,0.07261019195387848,0.07273334075412669,,,0.07261019195387848,0.07273334075412669,,,0.06775572176364153,0.07157469867199405,0.06775572176364153,0.07157469867199405,,,0.06775572176364153,0.07157469867199405,,,0.06775572176364153,0.07157469867199405,,,0.06735792456694607,0.07488605975156398,0.06735792456694607,0.07488605975156398,,,0.06735792456694607,0.07488605975156398,,,0.06735792456694607,0.07488605975156398,,,0.05197091673087395,0.0576436132075625,0.05197091673087395,0.0576436132075625,,,0.05197091673087395,0.0576436132075625,,,0.05197091673087395,0.0576436132075625,,,0.05197091673087403,0.057643613207562595,0.05197091673087403,0.057643613207562595,,,0.05197091673087403,0.057643613207562595,,,0.05197091673087403,0.057643613207562595,,,X6
0.3231569381627628,0.5216857645143939,0.2405718715978273,0.38838384856944264,1.0664225372471823,1.1678965041916898,0.18077609555914273,0.2770336047240597,0.892680308577243,1.0265426011126921,0.08823254419877208,0.1055683984514124,0.5580813321267535,0.7301831188423483,0.3231569381627628,0.5216857645143939,0.2405718715978273,0.38838384856944264,1.0664225372471823,1.1678965041916898,0.18077609555914273,0.2770336047240597,0.892680308577243,1.0265426011126921,0.08823254419877208,0.1055683984514124,0.5580813321267535,0.7301831188423483,0.2850979785421128,0.4425522047739022,0.2121323996576844,0.32667568871109337,0.9417881885019682,0.9990352792312265,0.15747822451535692,0.23127490626831407,0.7955769946491362,0.8748199475740935,0.07591817080605277,0.09026075797578681,0.49427778627817276,0.6193205175594624,0.2610568732860591,0.4025984352863773,0.19323695871587354,0.29485848796815717,0.8714361044177288,0.9156316123903665,0.14265675325527838,0.20755206906591245,0.7346573534091818,0.798821666569599,0.07161210679263044,0.08716647378981651,0.45050163977948754,0.5626482080635536,0.2124895924017624,0.32002276801755414,0.1611580345039209,0.2396297791902109,0.6744736134823361,0.7122807317507821,0.12308418562817099,0.17556462211700924,0.5701112194961284,0.6235231463961328,0.06024018635041048,0.0733448462595902,0.3647389984531145,0.4465978925458467,0.2124895924017624,0.320022768017554,0.1611580345039209,0.23962977919021086,0.6744736134823361,0.7122807317507819,0.12308418562817096,0.17556462211700918,0.5701112194961282,0.6235231463961327,0.06024018635041045,0.0733448462595902,0.36473899845311436,0.4465978925458466,X7
0.02995559991058272,0.03003143003285211,0.02995559991058272,0.03003143003285211,,,0.02995559991058272,0.03003143003285211,,,0.02995559991058272,0.03003143003285211,,,0.02995559991058272,0.03003143003285211,0.02995559991058272,0.03003143003285211,,,0.02995559991058272,0.03003143003285211,,,0.02995559991058272,0.03003143003285211,,,0.04519521347346811,0.04584898500396326,0.04519521347346811,0.04584898500396326,,,0.04519521347346811,0.04584898500396326,,,0.04519521347346811,0.04584898500396326,,,0.05610470135949708,0.05669320301202781,0.05610470135949708,0.05669320301202781,,,0.05610470135949708,0.05669320301202781,,,0.05610470135949708,0.05669320301202781,,,0.04390297950818911,0.04510636266111524,0.04390297950818911,0.04510636266111524,,,0.04390297950818911,0.04510636266111524,,,0.04390297950818911,0.04510636266111524,,,0.04390297950818933,0.04510636266111541,0.04390297950818933,0.04510636266111541,,,0.04390297950818933,0.04510636266111541,,,0.04390297950818933,0.04510636266111541,,,X8
0.3443123628767129,0.5327045405732246,0.2518623189302368,0.3805476254140018,1.1763627583949972,1.2387061066286804,0.18495144944060624,0.26592431201166516,0.9817560166211392,1.0658366098333933,0.10671802258382732,0.13955268251865985,0.5819067031695984,0.7403197308572199,0.3443123628767129,0.5327045405732246,0.2518623189302368,0.3805476254140018,1.1763627583949972,1.2387061066286804,0.18495144944060624,0.26592431201166516,0.9817560166211392,1.0658366098333933,0.10671802258382732,0.13955268251865985,0.5819067031695984,0.7403197308572199,0.27133841759959004,0.43342709804810436,0.19536602217005763,0.3063614411847571,0.9550899764653817,1.0167961936498375,0.1347441898924705,0.1998233304786747,0.8177153284280679,0.8829370266319374,0.07885675195212222,0.09829258627822453,0.4638200832470578,0.6050261697873407,0.24833293213246097,0.39585579334994414,0.17830846774877632,0.2779427385535245,0.878553111585623,0.9336747817390385,0.1226085886936626,0.17869684825355042,0.7512303058876544,0.8098016987760391,0.07922585597980136,0.09509378031962214,0.4174400082851206,0.5516890348755817,0.20272676655298558,0.31053998692124785,0.15164145431682788,0.22383371154186857,0.6624945766784047,0.7165452260443941,0.11225269603638077,0.1534081196901298,0.5646230486194046,0.6229279353487039,0.06464753336978762,0.0768528552000131,0.3408059997361835,0.43239311465575325,0.20272676655298558,0.31053998692124785,0.15164145431682785,0.22383371154186857,0.6624945766784048,0.7165452260443942,0.11225269603638077,0.1534081196901298,0.5646230486194046,0.6229279353487039,0.06464753336978765,0.07685285520001311,0.3408059997361835,0.43239311465575325,X9
