Best model-mean_distance,Best model-root_mean_square_distance,Best model-inner-q0.05-mean_distance,Best model-inner-q0.05-root_mean_square_distance,Best model-outer-q0.05-mean_distance,Best model-outer-q0.05-root_mean_square_distance,Best model-inner-q0.1-mean_distance,Best model-inner-q0.1-root_mean_square_distance,Best model-outer-q0.1-mean_distance,Best model-outer-q0.1-root_mean_square_distance,Best model-inner-q0.25-mean_distance,Best model-inner-q0.25-root_mean_square_distance,Best model-outer-q0.25-mean_distance,Best model-outer-q0.25-root_mean_square_distance,Best basemodel-mean_distance,Best basemodel-root_mean_square_distance,Best basemodel-inner-q0.05-mean_distance,Best basemodel-inner-q0.05-root_mean_square_distance,Best basemodel-outer-q0.05-mean_distance,Best basemodel-outer-q0.05-root_mean_square_distance,Best basemodel-inner-q0.1-mean_distance,Best basemodel-inner-q0.1-root_mean_square_distance,Best basemodel-outer-q0.1-mean_distance,Best basemodel-outer-q0.1-root_mean_square_distance,Best basemodel-inner-q0.25-mean_distance,Best basemodel-inner-q0.25-root_mean_square_distance,Best basemodel-outer-q0.25-mean_distance,Best basemodel-outer-q0.25-root_mean_square_distance,All models-mean_distance,All models-root_mean_square_distance,All models-inner-q0.05-mean_distance,All models-inner-q0.05-root_mean_square_distance,All models-outer-q0.05-mean_distance,All models-outer-q0.05-root_mean_square_distance,All models-inner-q0.1-mean_distance,All models-inner-q0.1-root_mean_square_distance,All models-outer-q0.1-mean_distance,All models-outer-q0.1-root_mean_square_distance,All models-inner-q0.25-mean_distance,All models-inner-q0.25-root_mean_square_distance,All models-outer-q0.25-mean_distance,All models-outer-q0.25-root_mean_square_distance,Rashomon-mean_distance,Rashomon-root_mean_square_distance,Rashomon-inner-q0.05-mean_distance,Rashomon-inner-q0.05-root_mean_square_distance,Rashomon-outer-q0.05-mean_distance,Rashomon-outer-q0.05-root_mean_square_distance,Rashomon-inner-q0.1-mean_distance,Rashomon-inner-q0.1-root_mean_square_distance,Rashomon-outer-q0.1-mean_distance,Rashomon-outer-q0.1-root_mean_square_distance,Rashomon-inner-q0.25-mean_distance,Rashomon-inner-q0.25-root_mean_square_distance,Rashomon-outer-q0.25-mean_distance,Rashomon-outer-q0.25-root_mean_square_distance,Best of Family-mean_distance,Best of Family-root_mean_square_distance,Best of Family-inner-q0.05-mean_distance,Best of Family-inner-q0.05-root_mean_square_distance,Best of Family-outer-q0.05-mean_distance,Best of Family-outer-q0.05-root_mean_square_distance,Best of Family-inner-q0.1-mean_distance,Best of Family-inner-q0.1-root_mean_square_distance,Best of Family-outer-q0.1-mean_distance,Best of Family-outer-q0.1-root_mean_square_distance,Best of Family-inner-q0.25-mean_distance,Best of Family-inner-q0.25-root_mean_square_distance,Best of Family-outer-q0.25-mean_distance,Best of Family-outer-q0.25-root_mean_square_distance,Best of Family models ∩ Rashomon models-mean_distance,Best of Family models ∩ Rashomon models-root_mean_square_distance,Best of Family models ∩ Rashomon models-inner-q0.05-mean_distance,Best of Family models ∩ Rashomon models-inner-q0.05-root_mean_square_distance,Best of Family models ∩ Rashomon models-outer-q0.05-mean_distance,Best of Family models ∩ Rashomon models-outer-q0.05-root_mean_square_distance,Best of Family models ∩ Rashomon models-inner-q0.1-mean_distance,Best of Family models ∩ Rashomon models-inner-q0.1-root_mean_square_distance,Best of Family models ∩ Rashomon models-outer-q0.1-mean_distance,Best of Family models ∩ Rashomon models-outer-q0.1-root_mean_square_distance,Best of Family models ∩ Rashomon models-inner-q0.25-mean_distance,Best of Family models ∩ Rashomon models-inner-q0.25-root_mean_square_distance,Best of Family models ∩ Rashomon models-outer-q0.25-mean_distance,Best of Family models ∩ Rashomon models-outer-q0.25-root_mean_square_distance,column
0.3113897992944512,0.47799762951863034,0.22283640118391815,0.3371436722445151,1.1083703822892483,1.1233096797605033,0.15465156618092601,0.2270631918885025,0.938342731748552,0.9675628644614103,0.11459920374428752,0.17064149634823117,0.5081803948446149,0.6540985761908492,0.3113897992944512,0.47799762951863034,0.22283640118391815,0.3371436722445151,1.1083703822892483,1.1233096797605033,0.15465156618092601,0.2270631918885025,0.938342731748552,0.9675628644614103,0.11459920374428752,0.17064149634823117,0.5081803948446149,0.6540985761908492,0.36792479072950407,0.582410081926665,0.2621540602047736,0.424678791822737,1.319861365452078,1.329979830404232,0.1729268086097183,0.27811246747117047,1.147916719208647,1.177548869218391,0.0739805294975037,0.10600882865479794,0.6618690519615045,0.8168017723455839,0.36695732722996427,0.5734217372393454,0.2634326247939394,0.41869272753281694,1.2986796491541874,1.307819745448914,0.17601802748853107,0.27486271251038924,1.1307145261956966,1.1583887088446039,0.08479327653659542,0.11614727706759398,0.649121377923333,0.8025800816784336,0.5442785695152375,0.8415373508326061,0.40326288319015474,0.6435791038292313,1.8134197464409822,1.8314214595479865,0.2762623462265678,0.4505227404320299,1.616343462669916,1.6519814180693009,0.06984844638886871,0.11656161859167084,1.0187086926416062,1.1843916644269372,0.4622807244144271,0.697945149496417,0.34225863768056985,0.5233206206028873,1.5424795050191418,1.5512878744843068,0.23642941921099175,0.35548878940536743,1.3656859452281682,1.3892976790293377,0.08458634362283803,0.12612070114850019,0.8399751052060159,0.9789527221234753,X1
0.024560383095565408,0.02825554811699714,0.024560383095565408,0.02825554811699714,,,0.024560383095565408,0.02825554811699714,,,0.024560383095565408,0.02825554811699714,,,0.024560383095565408,0.02825554811699714,0.024560383095565408,0.02825554811699714,,,0.024560383095565408,0.02825554811699714,,,0.024560383095565408,0.02825554811699714,,,0.011532074781071433,0.015701928233850464,0.011532074781071433,0.015701928233850464,,,0.011532074781071433,0.015701928233850464,,,0.011532074781071433,0.015701928233850464,,,0.014164596703082788,0.01968104563119517,0.014164596703082788,0.01968104563119517,,,0.014164596703082788,0.01968104563119517,,,0.014164596703082788,0.01968104563119517,,,0.03537744044094204,0.04842318761713135,0.03537744044094204,0.04842318761713135,,,0.03537744044094204,0.04842318761713135,,,0.03537744044094204,0.04842318761713135,,,0.05411469269066471,0.07217897679175687,0.05411469269066471,0.07217897679175687,,,0.05411469269066471,0.07217897679175687,,,0.05411469269066471,0.07217897679175687,,,X2
0.1402538672193565,0.17968796107695287,0.14812264050373614,0.18781830757058052,0.06943490765993973,0.07345872059756213,0.1468929266011079,0.19099635568380197,0.11369762969235095,0.12458083818143587,0.10196448779066788,0.13561966801337916,0.17854324664804508,0.21490191334635875,0.1402538672193565,0.17968796107695287,0.14812264050373614,0.18781830757058052,0.06943490765993973,0.07345872059756213,0.1468929266011079,0.19099635568380197,0.11369762969235095,0.12458083818143587,0.10196448779066788,0.13561966801337916,0.17854324664804508,0.21490191334635875,0.1599863401154773,0.2160651522268686,0.13362137486923562,0.17873328566220936,0.39727102733165215,0.42347516271408225,0.11060640088987864,0.1442385875235263,0.35750609701787195,0.3875586013894823,0.06758626005689669,0.08294238538052699,0.2523864201740579,0.29408988544495696,0.12861258526950384,0.18113283659639587,0.10708511336930598,0.1483813506315688,0.32235983237128457,0.36046888630966395,0.08928635736177482,0.118152939785006,0.2859174969004199,0.3289453659012789,0.062344001830105425,0.0763317154311983,0.19488116870890226,0.2445233694480834,0.15916301806326685,0.17989929419709708,0.1485875578932227,0.16877465494497892,0.25434215959366446,0.25937155426138486,0.13968126255225188,0.16046807194907328,0.23709004010732668,0.24252581677598073,0.10714889278211036,0.12959649287314243,0.21117714334442336,0.21893437633274707,0.09440484391320006,0.11517821593681907,0.08980042172113006,0.10986689051294153,0.13584464364182963,0.15499552117735874,0.08421030561739891,0.10413406263972676,0.1351829970964045,0.15150740947070696,0.06428282154260506,0.0824612322157756,0.124526866283795,0.14047130680047432,X3
0.09284403726506715,0.12835365843703117,0.09165689165378105,0.12092791987316384,0.10352834776664252,0.18202900894650742,0.0938842431410231,0.12413136665746116,0.08868321376124351,0.14401015039869272,0.09975722020009498,0.13631648789120518,0.08593085433003939,0.1198629984496761,0.09284403726506715,0.12835365843703117,0.09165689165378105,0.12092791987316384,0.10352834776664252,0.18202900894650742,0.0938842431410231,0.12413136665746116,0.08868321376124351,0.14401015039869272,0.09975722020009498,0.13631648789120518,0.08593085433003939,0.1198629984496761,0.06985165942959734,0.08816974334048822,0.07001635655263982,0.08899388481000473,0.06836938532221505,0.08037308383462809,0.07171213524969493,0.09139622690413034,0.06240975614920696,0.07386769953364404,0.07290737836063055,0.09595566116751086,0.06679594049856413,0.07962611613887105,0.06849156824415374,0.08909596108537489,0.06931356955710635,0.08986307111932973,0.061093556427580256,0.08186915694134728,0.0724155550286313,0.09341510167201858,0.052795621106243563,0.06917316334431219,0.07577644265588578,0.1004285171659232,0.06120669383242171,0.07609397810147095,0.051362346546305844,0.06410038099921028,0.05125289589235249,0.06496512936633173,0.05234740243188609,0.05571692866787648,0.050872541175440024,0.06550663240709956,0.05332156802976914,0.05813620785658558,0.04909193085812885,0.06594031960694376,0.05363276223448285,0.0622060442290132,0.07469239287514479,0.09347522097289457,0.07273997516059948,0.09198937987510185,0.09226415230605262,0.10591390499392689,0.07144177261575858,0.09148688436001823,0.08769487391268967,0.10103803561057567,0.06777022398475883,0.08987983893471971,0.08161456176553074,0.096937342778373,X4
0.40246127632514095,0.5462992248811741,0.394251629481131,0.5369326750227412,0.4763480979212299,0.6243061376392401,0.38481271925001626,0.52527204414221,0.4730555046256394,0.6233549022022005,0.3330629850721769,0.45531684931574723,0.4718595675781049,0.624157234149156,0.40246127632514095,0.5462992248811741,0.394251629481131,0.5369326750227412,0.4763480979212299,0.6243061376392401,0.38481271925001626,0.52527204414221,0.4730555046256394,0.6233549022022005,0.3330629850721769,0.45531684931574723,0.4718595675781049,0.624157234149156,0.15753546636257476,0.21051346821997102,0.15001584530697504,0.20402677008606504,0.22521205586297235,0.2617573242800266,0.142801236410383,0.19600284266396606,0.21647238617134187,0.2605976672585195,0.10472215913786417,0.1393418284475271,0.21034877358728532,0.2630887596399767,0.18815186538211756,0.25267713441591416,0.1802982555543924,0.2458080084952031,0.2588343538316433,0.3076737707426148,0.17172117100951118,0.23564108483356863,0.2538746428725429,0.31164368730494996,0.1272264222616279,0.16575826967897678,0.24907730850260712,0.31656857795161464,0.11997106027894333,0.15596772640985562,0.11585022109634736,0.15026032176163848,0.157058612922307,0.20013954669528852,0.10943974025585759,0.14393410491515315,0.16209634037128623,0.19687953722109516,0.08361856215805988,0.11604072302838983,0.15632355839982678,0.18758041998558286,0.2050573552995954,0.2783556958315709,0.19376545988131028,0.2630042436578039,0.30668441406416225,0.3902279390057289,0.17965967088174534,0.2465650300305249,0.30664809297099593,0.37977916066258227,0.13201852356555221,0.18870857928106208,0.2780961870336387,0.3454748310796014,X5
0.055003718282459334,0.06498386643395224,0.055003718282459334,0.06498386643395224,,,0.055003718282459334,0.06498386643395224,,,0.055003718282459334,0.06498386643395224,,,0.055003718282459334,0.06498386643395224,0.055003718282459334,0.06498386643395224,,,0.055003718282459334,0.06498386643395224,,,0.055003718282459334,0.06498386643395224,,,0.07062827226630468,0.07684846184814001,0.07062827226630468,0.07684846184814001,,,0.07062827226630468,0.07684846184814001,,,0.07062827226630468,0.07684846184814001,,,0.058796096363275506,0.06612760546271973,0.058796096363275506,0.06612760546271973,,,0.058796096363275506,0.06612760546271973,,,0.058796096363275506,0.06612760546271973,,,0.10234724929845092,0.11241251245284324,0.10234724929845092,0.11241251245284324,,,0.10234724929845092,0.11241251245284324,,,0.10234724929845092,0.11241251245284324,,,0.07596273062056959,0.08609296096161058,0.07596273062056959,0.08609296096161058,,,0.07596273062056959,0.08609296096161058,,,0.07596273062056959,0.08609296096161058,,,X6
0.35692093427413096,0.593316733008531,0.2571754943511484,0.4082435633413879,1.2546298935809745,1.4213663122475158,0.19759487245642485,0.27328869186102994,0.9942251815449555,1.2088742250305162,0.13322888024935284,0.16400675415556354,0.5806129882989092,0.8228920196035381,0.35692093427413096,0.593316733008531,0.2571754943511484,0.4082435633413879,1.2546298935809745,1.4213663122475158,0.19759487245642485,0.27328869186102994,0.9942251815449555,1.2088742250305162,0.13322888024935284,0.16400675415556354,0.5806129882989092,0.8228920196035381,0.4035781353614982,0.700887648039838,0.28184622636760726,0.4913271834164488,1.4991653163065164,1.6552381524338702,0.2022808718845009,0.3235038665967475,1.2087671892694873,1.4274447341532683,0.1028004281295356,0.12036978911234471,0.7043558425934608,0.9838689466685497,0.3683048863547485,0.649739203211565,0.2554833691225807,0.44670547609349653,1.383698541444259,1.5574653384755424,0.18505619419086988,0.2891075992306153,1.1012996550102632,1.332843706223065,0.09960216751850454,0.1169269563038374,0.6370076051909925,0.9114001049317029,0.28592141525775683,0.5040998044923561,0.2034942872438699,0.3645804428913454,1.0277655673827395,1.1596965270460504,0.1463239750812033,0.2488012823704245,0.844311175963971,1.0114221433256676,0.06910397659731911,0.08751437836709368,0.5027388539181946,0.7075128686868419,0.28961221980674534,0.5034762227117585,0.21647265478365985,0.3603613543635672,0.9478683050145144,1.1688200532555484,0.1628802052159382,0.24301516380389626,0.7965402781699737,1.0154880869936207,0.08639929364834596,0.11009325298239159,0.49282514596514465,0.7034600836720983,X7
0.03875039462060642,0.04764044206211909,0.03875039462060642,0.04764044206211909,,,0.03875039462060642,0.04764044206211909,,,0.03875039462060642,0.04764044206211909,,,0.03875039462060642,0.04764044206211909,0.03875039462060642,0.04764044206211909,,,0.03875039462060642,0.04764044206211909,,,0.03875039462060642,0.04764044206211909,,,0.04712844103202701,0.04908657158383209,0.04712844103202701,0.04908657158383209,,,0.04712844103202701,0.04908657158383209,,,0.04712844103202701,0.04908657158383209,,,0.04461429447061882,0.04710179794798488,0.04461429447061882,0.04710179794798488,,,0.04461429447061882,0.04710179794798488,,,0.04461429447061882,0.04710179794798488,,,0.07452272886019057,0.08072700645712375,0.07452272886019057,0.08072700645712375,,,0.07452272886019057,0.08072700645712375,,,0.07452272886019057,0.08072700645712375,,,0.05357221097967374,0.07540340918408728,0.05357221097967374,0.07540340918408728,,,0.05357221097967374,0.07540340918408728,,,0.05357221097967374,0.07540340918408728,,,X8
0.2549910333276135,0.3715356605396919,0.21569823205381825,0.3059931246041211,0.6086262447917711,0.7332812146657739,0.18856274293136724,0.2722273866602183,0.5207041949125987,0.627505167366706,0.13294813525073937,0.178949753879202,0.37703393140448765,0.4940187037875219,0.2549910333276135,0.3715356605396919,0.21569823205381825,0.3059931246041211,0.6086262447917711,0.7332812146657739,0.18856274293136724,0.2722273866602183,0.5207041949125987,0.627505167366706,0.13294813525073937,0.178949753879202,0.37703393140448765,0.4940187037875219,0.39550390395184293,0.6517428452999224,0.27315780819425434,0.40464234889704015,1.4966187657701409,1.6655535083893764,0.20224634023818205,0.2761240676232169,1.1685341588064866,1.348653283507303,0.10257332448610487,0.12583854904894387,0.688434483417581,0.9130729063840048,0.2694898573637438,0.4831731285557161,0.1767570857138207,0.26015046426653465,1.1040848022130518,1.3135670310495557,0.1379820520141554,0.17536715632501002,0.7955210787620974,1.0218937335758111,0.09477975042061132,0.11817914316276099,0.4441999643068763,0.6730128040668713,0.6724376732037632,0.9875532014843129,0.5059561689482193,0.7197928929416766,2.1707712115036584,2.2560356776999404,0.381293967004143,0.5340036798895673,1.837012498002244,1.9327873417081305,0.14187381091365953,0.1804398533398786,1.2030015354938668,1.384905812988925,0.300537908969907,0.46984295820198546,0.21620360169188046,0.3067597622693573,1.0595466744721462,1.1664519227091843,0.17222729470084971,0.24336196626789988,0.8137803660461363,0.9310541554371847,0.08932984474389706,0.12423857886732041,0.5117459731959171,0.6527400602575377,X9
